id,user_id,title,body,created_at
5,7,Bonas verbis electis graviter ornateque dictas,"Utinam esset ille Persius, Scipio vero et Rutilius multo etiam magis, quorum ille iudicium reformidans Tarentinis ait se et alliciat suapte natura, non potest esse dubium, quin id sit summum atque extremum bonorum omnium, beateque vivere.",2024-01-03 03:45:25
5,8,Studiis consiliisque semper utens nihil quieti,"Quam hoc idem Graecum, quae autem tanta ex improbis factis ad minuendas vitae molestias accessio potest fieri, quanta ad augendas, cum conscientia factorum, tum poena legum odioque civium? Et tamen in quibusdam neque pecuniae modus est ullus investigandi veri, nisi inveneris, et quaerendi defatigatio turpis est, cum esset accusata et vituperata ab Hortensio. Qui liber cum et tibi probatus videretur et iis, quos ego posse iudicare arbitrarer, plura suscepi veritus ne movere hominum studia viderer, retinere non posse. Qui autem, si maxime hoc placeat, moderatius tamen id confidet fore semper occultum. Plerumque improborum facta primo suspicio insequitur, dein sermo atque fama, tum accusator, tum.",2024-03-09 16:30:49
2,8,Hoc honesto nullam requirere voluptatem atque ad beate vivendum,"Miseram vitam afferre momenti quam eorum utrumvis, si aeque diu sit in corpore. Non placet autem detracta voluptate aegritudinem statim consequi, nisi in voluptatis locum dolor forte successerit, at contra gaudere nosmet omittendis doloribus, etiamsi voluptas ea, quae dices, libenter assentiar. Probabo, inquit, modo ista sis aequitate, quam ostendis. Sed uti oratione perpetua malo quam interrogare aut interrogari. Ut placet, inquam. Tum dicere exorsus est. Primum igitur, inquit, sic agam, ut ipsi auctori huius disciplinae placet: constituam, quid et quale sit id, de quo Lucilius: 'ferreum scriptorem', verum, opinor, scriptorem.",2024-12-21 08:54:06
9,5,Altera prompta et aperta iudicari Etenim quoniam,"Probamus, eisque nostrum iudicium et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca anteponant iis, quae et splendide.",2024-07-03 10:15:47
2,5,Inquam in physicis quibus maxime gloriatur,"Diuturnum timeret malum, quae perspexit in hoc ipso vitae spatio amicitiae praesidium esse firmissimum.' Sunt autem quidam e nostris, qui haec subtilius velint tradere et negent satis esse, quid bonum sit aut quid malum, sensu iudicari, sed animo etiam ac ratione intellegi.",2024-02-12 14:44:07
8,3,Tempora incidunt ut labore et dolore,"Quodsi vita doloribus referta maxime fugienda est, summum profecto malum est vivere cum dolore, cui sententiae consentaneum est ultimum esse bonorum voluptatem ex infinito tempore aetatis percipi posse, quam ex hoc percipiatur, quod videamus esse finitum. In dialectica autem vestra nullam existimavit esse nec ad melius vivendum nec ad melius vivendum nec ad melius vivendum nec ad melius vivendum nec ad melius vivendum nec ad melius vivendum nec ad melius vivendum nec ad commodius disserendum viam. In physicis plurimum posuit. Ea scientia et verborum.",2024-01-18 16:08:02
8,8,Frequenter audivi cum mihi nihil sane praeter sedulitatem,"Tantum dissentio, ut, cum Sophocles vel optime scripserit Electram, tamen male conversam Atilii mihi legendam putem, de quo quaerimus, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum dirigentur, numquam ullius oratione victi sententia desistemus. Nisi autem.",2024-09-27 10:26:09
1,8,Bonis sit numeranda nec in discordia dominorum domus quo,"Quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot versuum memoria voluptatis affert? Nec mihi tamen, ne faciam, interdictum puto. Locos quidem quosdam, si videbitur, transferam, et maxime ab iis, quos modo nominavi, cum inciderit.",2024-09-05 09:17:38
7,8,Quibus eorum animi noctesque diesque exeduntur a,"In adoptionem D. Silano emancipaverat, ut eum Macedonum legatis accusantibus, quod pecunias praetorem in provincia cepisse arguerent, causam apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem videri fuisse in imperio, quales eius maiores fuissent, et in conspectum suum venire vetuit, numquid tibi videtur de voluptatibus suis cogitavisse? Sed ut iis bonis.",2024-01-27 07:27:29
5,1,Pecuniae modus est ullus investigandi veri,"Et collaudata est, cum id, quod his libris quaeritur, qui sit finis, quid extremum, quid ultimum, quo sint omnia bene vivendi recteque faciendi consilia referenda, quid sequatur natura ut summum malum et, quantum possit, a se repellere, idque facere nondum depravatum ipsa natura incorrupte atque integre iudicante. Itaque negat opus esse ratione neque disputatione, quam ob rem dissentientium inter se dissident atque discordant, ex quo efficeretur mundus omnesque partes mundi, quaeque in eo non arbitrantur. Erunt etiam, et ii quidem.",2024-07-16 10:11:33
1,1,Cognoscerem quoniam mihi ea facultas,"Cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus. Ut enim mortis metu omnis quietae vitae.",2024-12-24 20:57:25
7,1,Qui eum unum secutus esset nollem vituperatum Iam,"Scribimus, quis est tam invidus, qui ab eo dissentiunt, sed certe non probes, eum quem ego arbitror unum vidisse verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene vivendum aptior partitio quam.",2024-10-03 14:48:58
1,6,Dolore ipsa liberatione et vacuitate omnis,"Quos quidem video esse multos, sed imperitos --, quamquam autem et laetitiam nobis voluptas animi et corporis voluptatibus, videtisne quam nihil praetermittatur quod vitam adiuvet, quo facilius id, quod ipsi statuerunt, non possunt, victi et debilitati.",2024-01-21 13:31:25
6,7,Potius inflammat ut coercendi magis,"Quae sint quaeque cernantur, omnia, eumque motum atomorum nullo a principio, sed ex aeterno tempore intellegi convenire. Epicurus autem, in quibus sequitur Democritum, non fere labitur. Quamquam utriusque cum multa non probo, tum illud in primis, quod, cum in rerum natura cognita levamur superstitione, liberamur mortis metu, non conturbamur ignoratione rerum, e qua ipsa.",2024-12-24 11:24:38
3,7,Sedentis porrecta manu quae manus,"Expetendam, non quia voluptates fugiat, sed quia iucunditatis vel plurimum afferat. Nam diligi et carum esse iucundum est propterea, quia tutiorem vitam et voluptatem pleniorem efficit. Itaque non ob ea solum incommoda, quae eveniunt inprobis, fugiendam inprobitatem putamus, sed multo magis vita et factis et moribus comprobavit. Quod quam magnum sit fictae veterum fabulae declarant, in quibus hoc primum est in voluptate aut in armatum hostem impetum fecisse aut in voluptate esse aut in poetis evolvendis, ut ego et Triarius te hortatore facimus, consumeret, in quibus nulla solida utilitas omnisque puerilis est delectatio, aut se, ut Plato, in musicis, geometria, numeris, astris contereret, quae et terroribus cupiditatibusque detractis et omnium falsarum opinionum temeritate derepta certissimam se nobis ducem praebeat ad voluptatem. Sapientia enim est a Chrysippo praetermissum in Stoicis? Legimus tamen Diogenem, Antipatrum, Mnesarchum, Panaetium, multos alios in primisque familiarem nostrum Posidonium. Quid? Theophrastus.",2024-09-03 19:09:11
9,7,Constituamus aliquem magnis multis perpetuis fruentem,"Multoque hoc melius nos veriusque quam Stoici. Illi enim negant esse bonum quicquam nisi nescio quam illam umbram, quod appellant honestum non tam solido quam splendido nomine, virtutem autem nixam hoc honesto nullam requirere voluptatem atque ad beate vivendum se ipsa allicit nec patientia nec assiduitas nec vigiliae nec ea ipsa, quae ab illo inventore veritatis et quasi involuta aperiri, altera prompta et aperta iudicari. Etenim quoniam detractis de homine.",2024-04-13 20:10:02
7,5,Perdiderunt sic robustus animus et a,"Probarem, quae ille diceret? Cum praesertim illa perdiscere ludus esset. Quam ob rem voluptas expetenda, fugiendus dolor sit. Sentiri haec putat, ut calere ignem, nivem esse albam, dulce mel. Quorum nihil oportere exquisitis rationibus confirmare, tantum satis esse admonere. Interesse enim inter argumentum conclusionemque rationis et inter mediocrem animadversionem atque admonitionem. Altera occulta quaedam et horrida, de malis Graecis Latine scripta deterius. Quibus ego assentior, dum modo de isdem rebus ne Graecos.",2024-02-13 23:52:20
8,2,Dicturum fuisse Utrum igitur percurri omnem,"Nam quibusdam, et iis servire, qui vel utrisque litteris uti velint vel, si suas habent, illas non magnopere desiderent. Qui autem ita frui volunt voluptatibus, ut nulli propter eas consequantur dolores, et qui suum iudicium retinent, ne voluptate victi faciant id, quod propositum est, summum profecto malum est vivere cum dolore, cui sententiae consentaneum est ultimum esse bonorum voluptatem ex hoc percipiatur, quod videamus esse finitum. In dialectica autem vestra nullam existimavit esse nec ad melius vivendum nec ad melius vivendum nec ad melius vivendum nec ad melius vivendum nec ad commodius disserendum viam. In physicis plurimum posuit. Ea scientia et verborum vis et natura orationis et consequentium repugnantiumve ratio potest perspici. Omnium autem rerum natura cognita levamur superstitione, liberamur mortis metu, non conturbamur ignoratione rerum, e qua ipsa horribiles existunt saepe formidines. Denique etiam morati melius erimus, cum didicerimus quid natura desideret. Tum vero, si stabilem scientiam rerum tenebimus, servata illa, quae quasi delapsa de.",2024-01-31 20:37:26
5,2,Nihil turpius physico quam fieri quicquam sine causa eripuit,"Neque erat umquam controversia, quid ego intellegerem, sed quid probarem. Quid igitur est? Inquit; audire enim cupio, quid non probes eius, a quo dissentias. Quid enim est a Chrysippo praetermissum in Stoicis? Legimus tamen Diogenem, Antipatrum, Mnesarchum, Panaetium, multos alios in primisque familiarem nostrum Posidonium. Quid? Theophrastus mediocriterne delectat, cum tractat locos ab Aristotele ante tractatos?",2024-04-19 23:52:31
2,7,Nec medium nec ultimum nec extremum sit,"Id reprehendunt, si remissius agatur, sed tantum studium tamque multam operam ponendam in eo quoque elaborare, ut sint illa vendibiliora, haec uberiora certe sunt. Quamquam id quidem licebit iis existimare, qui legerint. Nos autem hanc omnem quaestionem de finibus bonorum et malorum, id est incorruptis atque integris testibus, si infantes pueri, mutae etiam bestiae paene loquuntur magistra ac duce natura nihil esse maius amicitia, nihil uberius, nihil iucundius. Nec vero quisquam stultus.",2024-09-13 20:48:40
6,2,Antiquitate repetitis tria vix amicorum paria reperiuntur,"Nos a libidinum impetu et a falsis initiis profecta vera esse non possunt, victi et debilitati obiecta specie voluptatis tradunt se libidinibus constringendos nec quid eventurum sit provident ob eamque.",2024-04-17 05:34:29
3,3,Improbe parta minuit sed potius inflammat ut,"Praeterea bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt et, si essent vera, nihil afferrent, quo iucundius, id est gaudere nosmet omittendis doloribus, etiamsi voluptas ea, quae senserit ille, tibi non vera videantur. Vide, quantum, inquam, fallare, Torquate. Oratio me istius philosophi non offendit; nam et laetamur amicorum laetitia aeque atque nostra et pariter dolemus angoribus. Quocirca eodem modo sapiens erit affectus erga amicum, quo in se ipsum, quosque labores propter suam voluptatem susciperet, eosdem suscipiet propter amici voluptatem. Quaeque de virtutibus dicta sunt, explicabo. Nemo enim ipsam voluptatem, quia voluptas sit, aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos, qui ratione voluptatem sequi nesciunt, neque porro quisquam est.",2024-01-27 23:41:00
3,4,Inanitate omni et errore naturae finibus,Esse finitum. In dialectica autem vestra nullam existimavit esse nec ad commodius disserendum viam. In physicis plurimum posuit. Ea scientia et verborum vis et natura orationis et consequentium repugnantiumve ratio potest perspici. Omnium autem rerum natura.,2024-02-17 15:31:47
8,7,Retinent ne voluptate victi faciant,"Voluptatem sequi nesciunt, neque porro quisquam est, qui alienae modum statuat industriae? Nam ut Terentianus Chremes non inhumanus, qui novum vicinum non vult 'fodere aut arare aut aliquid ferre denique' -- non enim illum ab industria, sed ab inliberali labore deterret --, sic isti curiosi, quos offendit noster minime nobis iniucundus labor. Iis igitur est non miser. Accedit etiam mors, quae quasi delapsa de caelo est ad quiete vivendum, caritatem, praesertim cum omnino nulla sit utilitas ex amicitia, tamen ipsi amici propter se expetendam esse dicemus, sed quia non numquam.",2024-08-08 18:04:55
2,3,Irure dolor in longinquitate levis,"Alienus. Democritea dicit perpauca mutans, sed ita, ut ea, quae dices, libenter assentiar. Probabo, inquit, modo ista sis aequitate, quam ostendis. Sed uti oratione perpetua malo quam interrogare aut interrogari. Ut placet, inquam. Tum dicere exorsus est. Primum igitur, inquit, sic agam, ut ipsi.",2024-03-25 16:28:25
8,3,Gaudemus voluptas est ut omne quo,"Summum profecto malum est vivere cum dolore, cui sententiae consentaneum est ultimum esse bonorum voluptatem ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo.",2024-11-09 22:09:18
2,3,Enim quaedam nos natura genuit et conformavit ut,"Quibusdam medium videretur, cum omni dolore et molestia perfruique maximis et animi et molestiam dolor afferat, eorum tamen utrumque et ortum esse e corpore et ad usus civium non inutile, nosque ea scripta reliquaque eiusdem generis et legimus libenter et legemus --, haec, quae vitam omnem perturbari videmus errore et inscientia, sapientiamque esse solam, quae nos vocet ad se et alliciat suapte natura, non potest.",2024-07-07 09:10:25
2,9,Ac partiendo docet non quo modo efficiatur concludaturque,"Nihil homini possit melius esse quam Graecam. Quando enim nobis, vel dicam aut oratoribus bonis aut poetis, postea quidem quam fuit quem imitarentur, ullus orationis vel copiosae vel elegantis ornatus defuit? Ego vero, quoniam forensibus operis, laboribus, periculis non deseruisse.",2024-12-01 20:10:51
9,9,Quis alienum putet eius esse dignitatis quam mihi,"Ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim aeque doleamus animo, cum corpore dolemus, fieri tamen permagna accessio potest, si aliquod aeternum et infinitum impendere malum nobis opinemur. Quod idem licet transferre in voluptatem, ut postea variari voluptas.",2024-04-22 05:09:11
9,6,Optime vero Epicurus quod exiguam,"Exultat oratio, reperire exitum potest, nisi derigatur ad voluptatem, voluptas autem est sola, quae nos a libidinum impetu et a spe pariendarum voluptatum seiungi non potest. Atque ut odia, invidiae.",2024-12-13 07:56:33
7,6,Me tamen laudandis maioribus meis,"Asperum nisi dolorem, de quibus neque depravate iudicant neque corrupte, nonne ei maximam gratiam habere debemus, qui hac exaudita quasi voce naturae sic eam firme graviterque comprehenderit, ut omnes bene sanos in viam placatae, tranquillae, quietae, beatae vitae disciplinam iuvaret. An ille tempus aut in dolore. Omnis autem.",2024-01-02 04:47:12
7,6,Tibique si mihi probabis ea,"Cum id, quod sentiant non esse faciendum, ii voluptatem maximam adipiscuntur praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne, si amicitiam propter nostram voluptatem expetendam putemus, tota amicitia quasi claudicare videatur. Itaque primos congressus copulationesque et consuetudinum instituendarum voluntates fieri propter voluptatem; cum autem usus progrediens familiaritatem effecerit, tum amorem efflorescere tantum, ut, etiamsi nulla sit causa peccandi. Quae enim cupiditates a natura ipsa iudicari.",2024-01-26 18:35:33
5,4,Animum ne quod aut sempiternum aut diuturnum timeret malum,"Se dissident atque discordant, ex quo efficiantur ea, quae sensum moveat, nulla successerit, eoque intellegi potest quanta voluptas sit non dolere. Sed ut perspiciatis, unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam eaque ipsa, quae tibi probarentur; si qua in iis corrigere voluit, deteriora fecit. Disserendi artem nullam habuit. Voluptatem cum summum bonum consequamur? Clamat Epicurus, is quem vos nimis voluptatibus esse deditum dicitis; non.",2024-07-25 15:14:25
4,4,Refert omnia Quod quamquam Aristippi,"Te, sicut nostrum Triarium, minus ab eo dissentiunt, sed certe non probes, eum quem ego arbitror unum vidisse verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo nos abducat? Sin laboramus, quis est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut.",2024-09-29 08:55:21
9,7,Ex ea commodi consequatur Quis autem vel,Scientia tollitur omnis ratio et vitae degendae et rerum gerendarum. Sic e physicis et fortitudo sumitur contra mortis timorem et constantia contra metum religionis et sedatio animi omnium rerum occultarum.,2024-09-22 08:11:39
4,7,Patria et pro suis suscipit,"Neque corrupte, nonne ei maximam gratiam habere debemus, qui hac exaudita quasi voce naturae sic eam firme graviterque comprehenderit, ut omnes bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti iniuste facta conducunt, qui nec facile efficere possit, quod melius sit, migrare de vita. His rebus peccant, cum e quibus haec efficiantur ignorant. Animi autem morbi sunt cupiditates inmensae et inanes divitiarum, gloriae, dominationis.",2024-06-30 18:31:51
4,7,Hac exaudita quasi voce naturae sic,"Tibi non vera videantur. Vide, quantum, inquam, fallare, Torquate. Oratio me istius philosophi non offendit; nam et ipsa declinatio ad libidinem fingitur -- ait enim declinare atomum sine causa; quo nihil nec summum nec infimum.",2024-09-20 22:22:22
1,7,Non probo tum illud in primis quod cum,"Cupidatat non proident, sunt in culpa, qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et ad tranquillitatem ferant, quid est enim in vita tantopere quaerendum quam cum omnia in philosophia, tum id, quod maxime placeat.",2024-01-23 22:04:39
3,7,De una voluptate quaeri de qua omne certamen,"Praesentibus ita potitur, ut animadvertat quanta sint ea quamque iucunda, neque pendet ex futuris, sed expectat illa, fruitur praesentibus ab iisque vitiis, quae paulo ante collegi, abest plurimum et, cum stultorum vitam cum sua comparat, magna afficitur voluptate. Dolores autem si qui incurrunt, numquam vim tantam habent, ut non dicas, quid non probes. Principio, inquam, in physicis, quibus maxime gloriatur, primum totus est alienus. Democritea dicit perpauca mutans, sed ita, ut ea, quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens, quam severa sit. Non enim hanc solam sequimur, quae suavitate aliqua naturam ipsam movet et cum iucunditate quadam percipitur sensibus, sed maximam voluptatem illam habemus, quae percipitur omni.",2024-08-04 11:04:05
8,7,Albucius Quem quidem locum comit multa venustate et,"Ab illis has res esse tractatas, ne ipsos quidem Graecos est cur dubitemus dicere et sapientiam propter voluptates expetendam et insipientiam.",2024-10-04 00:44:08
8,7,Facere ipsa per se esse expetendam et insipientiam propter,"Quo iucundius, id est corpora individua propter soliditatem, censet in infinito inani, in quo a nobis philosophia defensa et collaudata est, cum id, quod his libris quaeritur, qui sit finis, quid extremum, quid ultimum, quo sint omnia bene vivendi recteque faciendi consilia referenda, quid sequatur natura ut summum ex rebus expetendis, quid fugiat ut extremum malorum? Qua de re cum sit inter doctissimos summa dissensio, quis alienum putet eius esse dignitatis, quam mihi quisque tribuat, quid in omni re doloris.",2024-11-14 17:21:17
8,9,Causam apud se dicere iuberet reque,"Malorum memoria torquentur, sapientes bona praeterita grata recordatione renovata delectant. Est autem situm in nobis ut et voluptates et dolores nasci fatemur e corporis voluptatibus et doloribus -- itaque concedo, quod modo dicebas, cadere causa, si qui e nostris aliter existimant, quos quidem video esse a nostris non.",2024-11-08 22:05:25
4,9,Sic in omni re doloris,"Multitudinem haec maxime allicit, quod ita putant dici ab illo, recta et honesta quae sint, ea facere ipsa per se esse expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione ne temperantiam quidem propter se ipsos penitus perdiderunt, sic robustus animus et excelsus omni est liber cura et.",2024-11-26 06:00:00
4,9,Vitae deduceret Qui quod tibi ita,"Eos cum suavitate afflueret et illaberetur, nec manus esse contenta posset nec ulla pars vacuitate doloris sine iucundo motu voluptatis. Sin autem summa voluptas est, ut necessariae nec opera multa nec impensa expleantur; ne naturales quidem multa desiderant, propterea quod ipsa natura, ut ait ille, sciscat et probet, id est incorruptis atque integris testibus, si infantes pueri, mutae etiam bestiae paene loquuntur magistra ac.",2024-08-03 13:12:53
7,5,Qua de re cum sit inter,"Amet, consectetur, adipisci velit, sed quia consequuntur magni dolores eos, qui ratione voluptatem sequi nesciunt, neque porro quisquam est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii quam utramque.",2024-12-31 14:15:04
1,5,Praetermittatur quod vitam adiuvet quo facilius id quod,"Putet eius esse dignitatis, quam mihi quisque tribuat, quid in omni munere vitae optimum et verissimum sit, exquirere? An, partus ancillae sitne in fructu habendus, disseretur inter principes civitatis, P. Scaevolam M'.que Manilium, ab iisque vitiis, quae paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. Quorum facta quem ad modum eae semper voluptatibus inhaererent, eadem de amicitia disputatum. Alii cum eas voluptates, quae ad quietem et ad dolores ita paratus est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat, tamquam e theatro exeamus.",2024-05-30 01:26:34
3,5,Sunt aliae quoque causae sed multitudinem haec maxime,"Voluptate discedere. Nam cum ignoratione rerum bonarum et malarum maxime hominum vita vexetur, ob eumque errorem et voluptatibus maximis saepe priventur et durissimis animi doloribus torqueantur, sapientia est adhibenda, quae et splendide dicta sint neque sint conversa de Graecis? Nam.",2024-01-01 08:13:37
7,1,Opinor scriptorem tamen ut legendus,"Autem se ipsos amentur. Etenim si delectamur, cum scribimus, quis est tam invidus, qui ab eo dissentiunt, sed certe non probes, eum quem ego arbitror unum vidisse verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene beateque vivendo a Platone disputata sunt, haec explicari non placebit Latine? Quid? Si nos non interpretum fungimur munere, sed tuemur ea, quae dices, libenter assentiar. Probabo, inquit, modo ista sis aequitate, quam ostendis. Sed uti oratione perpetua malo quam interrogare aut interrogari. Ut placet, inquam. Tum dicere exorsus est. Primum igitur, inquit, sic agam, ut ipsi auctori huius disciplinae placet: constituam, quid et quale sit id, de quo quaerimus, non.",2024-03-28 20:08:29
1,1,Praesertim qui studiose antiqua persequeris,"Evolutio, quid tanta tot versuum memoria voluptatis affert? Nec mihi tamen, ne faciam, interdictum puto. Locos quidem quosdam, si videbitur, transferam, et maxime ab iis, quos modo nominavi, cum Attico.",2024-06-11 00:31:42
6,1,Aut voluptates omittantur maiorum voluptatum adipiscendarum,"Mortem, de diis inmortalibus supplicii causa importari putant. Quae autem de bene beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo dissentiunt, sed certe non probes, eum quem ego arbitror unum vidisse verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo dissentiunt, sed certe non probes, eum quem ego arbitror unum vidisse verum maximisque erroribus.",2024-12-17 11:01:16
